candidate_id,seed,gc_deviation,homopolymer_max,repeated_12mers,cross_payload_12mer_collisions,reverse_complement_collisions,payload_hashes
payload_23_10_6a9bac6f94df,23,0.001736111111111105,4,0,0,0,A:02200d9d775ab2897126294c1a015bce1c2476abb423b3397b3cda3e7bd4e6bb;B:6ecf5e28652967089a6a4a172e5f66eed2564f06298b165b49926463f2e22458;C:95c931f120fea88940fcdfd728ecab2a577ca6623a79f57f08420080ebd946d2;D:78a2552f2f0f153dba59edfef51e8bec9c2dcae5a17ba0d26194d1b2b228f05e;E:a0a7e38ec5177785fa1b9991fa7d6b9b72a02161b4046999ed76635f363a31f4;F:77f6fcec8bb3ed8340e1556bb78c38eb779e649a8787e3f6628bad2c5ba4216e
payload_23_17_fab0313a11df,23,0.0,7,0,0,0,A:14d5e87ed20628dc5388f17be4d13441c8774ca6f20dc355b6f8d59c1e40ba11;B:8b8a8f4a8eb4b862cf759314576727b57b34103f680b464090b4f05739146a88;C:8b39ec3273bd44faf2963c19870fce4823af9934b3f7f3504377a83dc19f20d6;D:2330a43513d978ecccfcda4b64d8b0b457b962095456842eeaa66a7aa53f9c0b;E:728c24723d6746bd7ac17a367be4a89cfb94ab67c618bbd603fbc924054c74a6;F:df385fc5016eb5f136f65b451bdffc9d443cbc31f28847c91400cd711b2bdda5
