analysis_removed,selected_channel_trio,selected_payload_candidate_changed,hard_constraints_changed
none,Bxb1;phiC31;TP901-1,False,False
ESM2,Bxb1;phiC31;TP901-1,False,False
ViennaRNA,Bxb1;phiC31;TP901-1,False,False
